gene_id,gene_symbol,LFC_Neutrophils,LFC_Monocytes
ENSG00000067048,DDX3Y,8.250884877634,11.6515848969964
ENSG00000183878,UTY,9.07475216719231,7.89904662887513
ENSG00000198692,EIF1AY,8.2432142696519,7.01194340987914
ENSG00000129824,RPS4Y1,7.49427821377395,10.2492649221145
ENSG00000229807,XIST,-4.86462480335532,-10.4687985468183
ENSG00000137965,IFI44,-3.19521050836423,-1.5078966900283
ENSG00000099725,ENSG00000099725,6.68529031157576,7.47174222488417
ENSG00000132530,XAF1,-2.20359945930064,-1.10287735219645
ENSG00000134326,CMPK2,-3.38922893714668,-1.56365858936531
ENSG00000137959,IFI44L,-3.4539840646539,-2.01477899618096
ENSG00000185745,IFIT1,-2.53226369047085,-1.94428790113451
ENSG00000126709,IFI6,-2.1746597616588,-1.49189847508383
ENSG00000135114,OASL,-1.62395146345591,-1.47163026478813
ENSG00000196526,AFAP1,-5.26574042508263,-5.15720187365922
ENSG00000160932,LY6E,-5.15041146493577,-1.25874822366046
ENSG00000111335,OAS2,-4.02194310614078,-1.17470427791869
ENSG00000111331,OAS3,-3.07239618816578,-1.41766537397583
